scenario,component,metric,value
weekday_nominal,ev_traffic,spawned_evs,621
weekday_nominal,ev_traffic,charge_request_evs,512
weekday_nominal,ev_traffic,low_battery_evs,71
weekday_nominal,ev_traffic,v2g_capable_on_entry,205
weekday_nominal,ev_traffic,served_evs,495
weekday_nominal,ev_traffic,served_ratio_pct,96.68
weekday_nominal,rsu_awareness,feature_frames,8133
weekday_nominal,rsu_awareness,unique_sensed_events,8133
weekday_nominal,rsu_awareness,unique_sensed_evs,512
weekday_nominal,rsu_awareness,charge_request_evs_available,512
weekday_nominal,rsu_awareness,sensing_coverage_pct,100.0
weekday_nominal,rsu_awareness,features_per_minute,5.648
weekday_nominal,rsu_awareness,rsu_range_km,7.5
weekday_nominal,lava_decision_engine,route_decisions,512
weekday_nominal,lava_decision_engine,v2g_decisions,1440
weekday_nominal,lava_decision_engine,route_deferrals,47
weekday_nominal,lava_decision_engine,avg_route_confidence,0.797
weekday_nominal,lava_decision_engine,avg_v2g_confidence,0.871
weekday_nominal,lava_decision_engine,latency_ms_avg,0.0157
weekday_nominal,lava_decision_engine,latency_ms_p50,0.015
weekday_nominal,lava_decision_engine,latency_ms_p95,0.023
weekday_nominal,lava_decision_engine,latency_ms_max,0.061
weekday_nominal,station_operations,total_energy_delivered_kwh,15090.819
weekday_nominal,station_operations,total_v2g_supplied_kwh,1630.467
weekday_nominal,grid_response,avg_grid_stress,0.8024
weekday_nominal,grid_response,peak_grid_stress,1.0
weekday_nominal,grid_response,stress_minutes_over_0_80,496
weekday_nominal,grid_response,baseline_stress_minutes_over_0_80,1401
weekday_nominal,grid_response,stress_event_reduction_pct,64.6
weekday_nominal,grid_response,demand_prediction_accuracy_pct,97.29
weekday_nominal,grid_response,avg_frequency_hz,49.9771
weekday_nominal,v2g_settlement,invitations,10459
weekday_nominal,v2g_settlement,acceptances,8153
weekday_nominal,v2g_settlement,utilization_pct,77.95
weekday_nominal,v2g_settlement,supplied_kwh,1630.467
weekday_nominal,v2g_settlement,revenue,1021.5
weekday_nominal,v2g_settlement,credits_awarded,3260
weekday_nominal,v2g_settlement,credit_ledger_mode,on_chain
weekday_nominal,v2g_settlement,credit_ledger_transactions,1
weekday_nominal,v2g_settlement,credit_ledger_failures,0
weekday_nominal,blockchain_validation,chain_file,weekday_nominal_chain.jsonl
weekday_nominal,blockchain_validation,records,1952
weekday_nominal,blockchain_validation,valid_hash_chain,True
weekday_nominal,blockchain_validation,last_block_hash,8ee6370f7138b41b65dd49bb56295f571cb0e218b5004e8096310c1c5c76fa66
weekday_nominal,blockchain_validation,consensus_pct,100.0
weekday_nominal,edge_deployment,scenario,weekday_nominal
weekday_nominal,edge_deployment,wan_outage,False
weekday_nominal,edge_deployment,offline_decision_continuity_pct,100.0
weekday_nominal,edge_deployment,docker_image,aei-v2g:pi
evening_peak_v2g,ev_traffic,spawned_evs,775
evening_peak_v2g,ev_traffic,charge_request_evs,646
evening_peak_v2g,ev_traffic,low_battery_evs,80
evening_peak_v2g,ev_traffic,v2g_capable_on_entry,243
evening_peak_v2g,ev_traffic,served_evs,628
evening_peak_v2g,ev_traffic,served_ratio_pct,97.21
evening_peak_v2g,rsu_awareness,feature_frames,10524
evening_peak_v2g,rsu_awareness,unique_sensed_events,10524
evening_peak_v2g,rsu_awareness,unique_sensed_evs,646
evening_peak_v2g,rsu_awareness,charge_request_evs_available,646
