minute,active_evs,routed_now,lava_wait_min,baseline_wait_min,grid_stress,baseline_grid_stress,actual_kw,forecast_kw,v2g_kw,v2g_supplied_kwh,v2g_credits_awarded,credit_ledger_transactions
0,1,1,0.0,0.0,0.6147850748308618,0.6147850748308618,0.0,0.0,0.0,0.0,0,0
1,1,0,0.0,0.0,0.6147850748308618,0.6147850748308618,0.0,0.0,0.0,0.0,0,0
2,1,0,0.0,0.0,0.6147850748308618,0.6147850748308618,0.0,0.0,0.0,0.0,0,0
3,1,0,0.0,0.0,0.6147850748308618,0.6147850748308618,0.0,0.0,0.0,0.0,0,0
4,0,0,0.0,0.0,0.6147850748308618,0.6147850748308618,0.0,0.0,0.0,0.0,0,0
5,0,0,0.0,0.0,0.6483564118772638,0.6545439118772637,55.0,19.25,0.0,0.0,0,0
6,0,0,0.0,0.0,0.6483564118772638,0.6545439118772637,55.0,55.0,0.0,0.0,0,0
7,0,0,0.0,0.0,0.6483564118772638,0.6545439118772637,55.0,55.0,0.0,0.0,0,0
8,1,1,0.0,0.0,0.6483564118772638,0.6545439118772637,55.0,55.0,0.0,0.0,0,0
9,2,0,0.0,0.0,0.6483564118772638,0.6545439118772637,55.0,55.0,0.0,0.0,0,0
10,2,0,0.0,0.0,0.6549005244994192,0.6610880244994191,55.0,55.0,0.0,0.0,0,0
11,3,1,0.0,0.0,0.6549005244994192,0.6610880244994191,55.0,55.0,0.0,0.0,0,0
12,4,1,0.0,0.0,0.6549005244994192,0.6610880244994191,55.0,55.0,0.0,0.0,0,0
13,4,0,0.0,0.0,0.6549005244994192,0.6610880244994191,55.0,55.0,0.0,0.0,0,0
14,4,0,0.0,0.0,0.6549005244994192,0.6610880244994191,55.0,55.0,0.0,0.0,0,0
15,4,0,0.0,0.0,0.6489878613408051,0.655175361340805,55.0,55.0,0.0,0.0,0,0
16,4,0,0.0,0.0,0.6489878613408051,0.655175361340805,55.0,55.0,0.0,0.0,0,0
17,4,1,0.0,0.0,0.6489878613408051,0.655175361340805,55.0,55.0,0.0,0.0,0,0
18,5,1,0.0,0.0,0.683362861340805,0.6957378613408051,110.0,74.25,0.0,0.0,0,0
19,5,0,0.0,0.0,0.683362861340805,0.6957378613408051,110.0,110.0,0.0,0.0,0,0
20,6,1,0.0,0.0,0.6873429064443382,0.6997179064443382,110.0,110.0,0.0,0.0,0,0
21,6,0,0.0,0.0,0.6873429064443382,0.6997179064443382,110.0,110.0,0.0,0.0,0,0
