minute,active_evs,routed_now,lava_wait_min,baseline_wait_min,grid_stress,baseline_grid_stress,actual_kw,forecast_kw,v2g_kw,v2g_supplied_kwh,v2g_credits_awarded,credit_ledger_transactions
0,1,1,0.0,0.0,0.5947850748308618,0.5947850748308618,0.0,0.0,0.0,0.0,0,0
1,1,0,0.0,0.0,0.5947850748308618,0.5947850748308618,0.0,0.0,0.0,0.0,0,0
2,1,0,0.0,0.0,0.5947850748308618,0.5947850748308618,0.0,0.0,0.0,0.0,0,0
3,1,0,0.0,0.0,0.5947850748308618,0.5947850748308618,0.0,0.0,0.0,0.0,0,0
4,0,0,0.0,0.0,0.5947850748308618,0.5947850748308618,0.0,0.0,0.0,0.0,0,0
5,0,0,0.0,0.0,0.6283564118772638,0.6345439118772637,55.0,19.25,0.0,0.0,0,0
6,0,0,0.0,0.0,0.6283564118772638,0.6345439118772637,55.0,55.0,0.0,0.0,0,0
7,0,0,0.0,0.0,0.6283564118772638,0.6345439118772637,55.0,55.0,0.0,0.0,0,0
8,1,1,0.0,0.0,0.6283564118772638,0.6345439118772637,55.0,55.0,0.0,0.0,0,0
9,2,0,0.0,0.0,0.6283564118772638,0.6345439118772637,55.0,55.0,0.0,0.0,0,0
10,2,0,0.0,0.0,0.6349005244994192,0.6410880244994192,55.0,55.0,0.0,0.0,0,0
11,3,1,0.0,0.0,0.6349005244994192,0.6410880244994192,55.0,55.0,0.0,0.0,0,0
12,3,0,0.0,0.0,0.6349005244994192,0.6410880244994192,55.0,55.0,0.0,0.0,0,0
13,4,1,0.0,0.0,0.6349005244994192,0.6410880244994192,55.0,55.0,0.0,0.0,0,0
14,4,0,0.0,0.0,0.6349005244994192,0.6410880244994192,55.0,55.0,0.0,0.0,0,0
15,4,0,0.0,0.0,0.6289878613408051,0.635175361340805,55.0,55.0,0.0,0.0,0,0
16,4,0,0.0,0.0,0.6289878613408051,0.635175361340805,55.0,55.0,0.0,0.0,0,0
17,5,1,0.0,0.0,0.6289878613408051,0.635175361340805,55.0,55.0,0.0,0.0,0,0
18,5,0,0.0,0.0,0.6289878613408051,0.635175361340805,55.0,55.0,0.0,0.0,0,0
19,5,0,0.0,0.0,0.6289878613408051,0.635175361340805,55.0,55.0,0.0,0.0,0,0
20,6,1,0.0,0.0,0.6329679064443382,0.6391554064443381,55.0,55.0,0.0,0.0,0,0
21,8,2,0.0,0.0,0.6329679064443382,0.6391554064443381,55.0,55.0,0.0,0.0,0,0
22,7,0,0.0,0.0,0.6329679064443382,0.6391554064443381,55.0,55.0,0.0,0.0,0,0
23,7,0,0.0,0.0,0.6673429064443381,0.6797179064443382,110.0,74.25,0.0,0.0,0,0
24,7,0,0.0,0.0,0.6673429064443381,0.6797179064443382,110.0,110.0,0.0,0.0,0,0
25,5,0,0.0,0.0,0.6634968051664047,0.6758718051664048,110.0,110.0,0.0,0.0,0,0
26,5,0,0.0,0.0,0.7322468051664048,0.7569968051664048,220.0,148.5,0.0,0.0,0,0
27,5,0,0.0,0.0,0.7322468051664048,0.7569968051664048,220.0,220.0,0.0,0.0,0,0
