minute,active_evs,routed_now,lava_wait_min,baseline_wait_min,grid_stress,baseline_grid_stress,actual_kw,forecast_kw,v2g_kw,v2g_supplied_kwh,v2g_credits_awarded,credit_ledger_transactions
0,1,1,0.0,0.0,0.6247850748308618,0.6247850748308618,0.0,0.0,0.0,0.0,0,0
1,1,0,0.0,0.0,0.6247850748308618,0.6247850748308618,0.0,0.0,0.0,0.0,0,0
2,2,1,0.0,0.0,0.6247850748308618,0.6247850748308618,0.0,0.0,0.0,0.0,0,0
3,3,1,0.0,0.0,0.6247850748308618,0.6247850748308618,0.0,0.0,0.0,0.0,0,0
4,2,0,0.0,0.0,0.6247850748308618,0.6247850748308618,0.0,0.0,0.0,0.0,0,0
5,2,0,0.0,0.0,0.6583564118772638,0.6645439118772637,55.0,19.25,0.0,0.0,0,0
6,3,1,0.0,0.0,0.6583564118772638,0.6645439118772637,55.0,55.0,0.0,0.0,0,0
7,3,0,0.0,0.0,0.6583564118772638,0.6645439118772637,55.0,55.0,0.0,0.0,0,0
8,3,1,0.0,0.0,0.6927314118772637,0.7051064118772638,110.0,74.25,0.0,0.0,0,0
9,3,0,0.0,0.0,0.7271064118772638,0.7456689118772637,165.0,129.25,0.0,0.0,0,0
10,3,0,0.0,0.0,0.7336505244994191,0.7522130244994191,165.0,165.0,0.0,0.0,0,0
11,4,1,0.0,0.0,0.7336505244994191,0.7522130244994191,165.0,165.0,0.0,0.0,0,0
12,5,1,0.0,0.0,0.7336505244994191,0.7522130244994191,165.0,165.0,0.0,0.0,0,0
13,6,0,0.0,0.0,0.7336505244994191,0.7522130244994191,165.0,165.0,0.0,0.0,0,0
14,6,0,0.0,0.0,0.7336505244994191,0.7522130244994191,165.0,165.0,0.0,0.0,0,0
15,8,2,0.0,0.0,0.7277378613408051,0.746300361340805,165.0,165.0,0.0,0.0,0,0
16,8,0,0.0,0.0,0.7277378613408051,0.746300361340805,165.0,165.0,0.0,0.0,0,0
17,8,0,0.0,0.0,0.7277378613408051,0.746300361340805,165.0,165.0,0.0,0.0,0,0
18,10,1,0.0,0.0,0.7277378613408051,0.746300361340805,165.0,165.0,0.0,0.0,0,0
19,10,0,0.0,0.0,0.7277378613408051,0.746300361340805,165.0,165.0,0.0,0.0,0,0
20,11,1,0.0,0.0,0.7317179064443382,0.7502804064443381,165.0,165.0,0.0,0.0,0,0
21,12,1,0.0,0.0,0.7660929064443383,0.7908429064443382,220.0,184.25,0.0,0.0,0,0
22,13,1,0.0,0.0,0.7660929064443383,0.7908429064443382,220.0,220.0,0.0,0.0,0,0
23,14,0,0.0,0.0,0.7660929064443383,0.7908429064443382,220.0,220.0,0.0,0.0,0,0
24,16,2,0.0,0.0,0.7660929064443383,0.7908429064443382,220.0,220.0,0.0,0.0,0,0
25,18,2,0.0,0.0,0.7622468051664046,0.7869968051664047,220.0,220.0,0.0,0.0,0,0
26,18,2,0.0,0.0,0.7622468051664046,0.7869968051664047,220.0,220.0,0.0,0.0,0,0
27,17,0,0.0,0.0,0.7409968051664048,0.8681218051664047,330.0,258.5,72.0,0.4,0,0
28,18,1,0.0,0.0,0.7708805551664046,0.9086843051664046,385.0,349.25,75.593,0.4,0,0
29,17,0,0.0,0.0,0.7708805551664046,0.9086843051664046,385.0,385.0,75.593,0.6000000000000001,1,0
30,17,0,0.0,0.0,0.782837572011891,0.944536322011891,440.0,404.25,93.359,0.6000000000000001,1,0
31,18,1,0.0,0.0,0.782837572011891,0.944536322011891,440.0,440.0,93.359,0.8,1,0
32,19,1,0.0,0.0,0.7708063220118909,0.9084738220118909,385.0,420.75,75.484,0.6000000000000001,1,0
33,21,2,0.0,0.0,0.7708063220118909,0.9084738220118909,385.0,385.0,75.484,0.6000000000000001,1,0
34,21,2,0.0,0.0,0.782837572011891,0.944536322011891,440.0,404.25,93.359,0.6000000000000001,1,0
35,21,0,0.0,0.0,0.7977241786544114,0.9420679286544114,550.0,478.5,115.475,0.6000000000000001,1,0
36,18,0,0.0,0.0,0.7977241786544114,0.9420679286544114,550.0,550.0,115.475,0.6000000000000001,1,0
37,17,1,0.0,0.0,0.7845679286544114,0.9420679286544114,605.0,569.25,126.0,0.6000000000000001,1,0
38,15,1,0.0,1.4055555555555554,0.7620679286544114,0.9420679286544114,660.0,624.25,144.0,0.8,1,0
39,14,0,0.0,0.0,0.7620679286544114,0.9420679286544114,715.0,679.25,144.0,0.8,1,0
40,12,1,0.0,30.766666666666666,0.7569397936171667,0.9369397936171666,715.0,715.0,144.0,0.8,1,0
41,11,0,0.0,0.0,0.7369397936171667,0.9369397936171666,715.0,715.0,160.0,0.8,1,0
42,13,1,0.0,30.766666666666666,0.7369397936171667,0.9369397936171666,715.0,715.0,160.0,1.2,2,0
43,13,1,0.0,38.766666666666666,0.7369397936171667,0.9369397936171666,715.0,715.0,160.0,1.2,2,0
44,12,0,0.0,0.0,0.7369397936171667,0.9369397936171666,715.0,715.0,160.0,1.4,2,0
45,13,0,0.0,0.0,0.7395421308002461,0.9395421308002461,715.0,715.0,160.0,1.5999999999999999,3,0
46,14,0,0.0,0.0,0.7395421308002461,0.9395421308002461,715.0,715.0,160.0,1.5999999999999999,3,0
47,14,0,0.0,0.0,0.7595421308002461,0.9395421308002461,715.0,715.0,144.0,1.4,2,0
48,14,0,0.0,0.0,0.7595421308002461,0.9395421308002461,715.0,715.0,144.0,1.4,2,0
49,14,0,0.0,0.0,0.7395421308002461,0.9395421308002461,715.0,715.0,160.0,1.5999999999999999,3,0
50,18,3,0.0,38.766666666666666,0.7348349620720291,0.9348349620720291,715.0,715.0,160.0,1.5999999999999999,3,0
51,18,0,0.0,0.0,0.7348349620720291,0.9348349620720291,715.0,715.0,160.0,1.5999999999999999,3,0
52,20,2,0.0,38.766666666666666,0.7348349620720291,0.9348349620720291,715.0,715.0,160.0,1.5999999999999999,3,0
53,20,0,0.0,0.0,0.7348349620720291,0.9348349620720291,715.0,715.0,160.0,1.5999999999999999,3,0
54,21,0,0.0,0.0,0.7348349620720291,0.9348349620720291,715.0,715.0,160.0,1.5999999999999999,3,0
55,22,1,0.0,38.766666666666666,0.7353324677099706,0.9353324677099706,715.0,715.0,160.0,1.5999999999999999,3,0
56,23,1,0.0,30.766666666666666,0.7353324677099706,0.9353324677099706,715.0,715.0,160.0,1.4,2,0
57,24,1,0.0,30.766666666666666,0.7353324677099706,0.9353324677099706,715.0,715.0,160.0,1.5999999999999999,3,0
58,24,0,0.0,0.0,0.7353324677099706,0.9353324677099706,715.0,715.0,160.0,1.5999999999999999,3,0
59,24,0,0.0,0.0,0.7353324677099706,0.9353324677099706,715.0,715.0,160.0,1.5999999999999999,3,0
60,26,2,0.0,22.766666666666666,0.7566188953294939,0.9366188953294938,715.0,715.0,144.0,1.5999999999999999,3,0
61,26,0,0.0,0.0,0.7791188953294939,0.9366188953294938,715.0,715.0,126.0,1.4,2,0
62,27,1,0.0,22.766666666666666,0.7791188953294939,0.9366188953294938,715.0,715.0,126.0,1.4,2,0
63,28,1,0.0,22.766666666666666,0.7366188953294939,0.9366188953294938,715.0,715.0,160.0,1.4,2,0
64,29,1,0.0,22.766666666666666,0.7366188953294939,0.9366188953294938,715.0,715.0,160.0,1.4,2,0
65,29,0,0.0,0.0,0.7321796142524761,0.9321796142524761,715.0,715.0,160.0,1.4,2,0
66,29,0,0.0,0.0,0.7321796142524761,0.9321796142524761,715.0,715.0,160.0,1.4,2,0
67,28,0,0.0,0.0,0.7321796142524761,0.9321796142524761,715.0,715.0,160.0,1.4,2,0
68,27,0,0.0,0.0,0.7321796142524761,0.9321796142524761,770.0,734.25,160.0,1.7999999999999998,3,0
69,27,0,0.0,0.0,0.7321796142524761,0.9321796142524761,880.0,808.5,160.0,1.7999999999999998,3,0
70,28,1,0.0,14.766666666666666,0.7339208839852718,0.9339208839852717,880.0,880.0,160.0,1.5999999999999999,3,0
