minute,active_evs,routed_now,lava_wait_min,baseline_wait_min,grid_stress,baseline_grid_stress,actual_kw,forecast_kw,v2g_kw,v2g_supplied_kwh,v2g_credits_awarded,credit_ledger_transactions
0,1,1,0.0,0.0,0.6447850748308618,0.6447850748308618,0.0,0.0,0.0,0.0,0,0
1,1,0,0.0,0.0,0.6447850748308618,0.6447850748308618,0.0,0.0,0.0,0.0,0,0
2,1,0,0.0,0.0,0.6447850748308618,0.6447850748308618,0.0,0.0,0.0,0.0,0,0
3,1,0,0.0,0.0,0.6447850748308618,0.6447850748308618,0.0,0.0,0.0,0.0,0,0
4,0,0,0.0,0.0,0.6447850748308618,0.6447850748308618,0.0,0.0,0.0,0.0,0,0
5,0,0,0.0,0.0,0.6783564118772638,0.6845439118772637,55.0,19.25,0.0,0.0,0,0
6,0,0,0.0,0.0,0.6783564118772638,0.6845439118772637,55.0,55.0,0.0,0.0,0,0
7,0,0,0.0,0.0,0.6783564118772638,0.6845439118772637,55.0,55.0,0.0,0.0,0,0
8,1,1,0.0,0.0,0.6783564118772638,0.6845439118772637,55.0,55.0,0.0,0.0,0,0
9,2,0,0.0,0.0,0.6783564118772638,0.6845439118772637,55.0,55.0,0.0,0.0,0,0
10,3,1,0.0,0.0,0.6849005244994192,0.6910880244994191,55.0,55.0,0.0,0.0,0,0
11,4,1,0.0,0.0,0.6849005244994192,0.6910880244994191,55.0,55.0,0.0,0.0,0,0
12,4,0,0.0,0.0,0.6849005244994192,0.6910880244994191,55.0,55.0,0.0,0.0,0,0
13,4,0,0.0,0.0,0.6849005244994192,0.6910880244994191,55.0,55.0,0.0,0.0,0,0
14,4,0,0.0,0.0,0.6849005244994192,0.6910880244994191,55.0,55.0,0.0,0.0,0,0
15,4,0,0.0,0.0,0.6789878613408051,0.685175361340805,55.0,55.0,0.0,0.0,0,0
16,4,0,0.0,0.0,0.6789878613408051,0.685175361340805,55.0,55.0,0.0,0.0,0,0
17,5,1,0.0,0.0,0.6789878613408051,0.685175361340805,55.0,55.0,0.0,0.0,0,0
18,6,1,0.0,0.0,0.6789878613408051,0.685175361340805,55.0,55.0,0.0,0.0,0,0
19,6,0,0.0,0.0,0.6789878613408051,0.685175361340805,55.0,55.0,0.0,0.0,0,0
20,7,1,0.0,0.0,0.6829679064443382,0.6891554064443381,55.0,55.0,0.0,0.0,0,0
21,7,0,0.0,0.0,0.6829679064443382,0.6891554064443381,55.0,55.0,0.0,0.0,0,0
22,8,2,0.0,0.0,0.6829679064443382,0.6891554064443381,55.0,55.0,0.0,0.0,0,0
23,8,0,0.0,0.0,0.7173429064443382,0.7297179064443382,110.0,74.25,0.0,0.0,0,0
24,8,0,0.0,0.0,0.7173429064443382,0.7297179064443382,110.0,110.0,0.0,0.0,0,0
